date,total_sales,avg_oil_price,n_holidays,yoy_growth_pct
2013-01-01,10327624.7369095,94.63225806451614,5346,
2013-02-01,9658959.7774368,95.40357142857142,3564,
2013-03-01,11428497.0374875,93.21709677419354,0,
2013-04-01,10993464.7380118,91.793,1782,
2013-05-01,11597704.0070268,94.65451612903226,7128,
2013-06-01,11689344.0622436,95.58433333333333,0,
2013-07-01,11257400.6076808,104.77677419354838,0,
2013-08-01,11737788.9194727,106.66645161290323,1782,
2013-09-01,11792933.2318679,106.491,0,
2013-10-01,11775620.3605191,100.67483870967743,1782,
2013-11-01,12356559.2929861,93.89266666666667,3564,
2013-12-01,15803117.1479746,97.60933333333334,10692,
2014-01-01,18911640.7014034,94.59451612903226,1782,83.1
2014-02-01,12038352.6339783,100.59214285714285,0,24.6
2014-03-01,20365584.016477,100.97225806451613,3564,78.2
2014-04-01,12861251.0571494,102.26066666666667,1782,17.0
2014-05-01,13379785.2611975,102.24483870967742,7128,15.4
2014-06-01,13319958.1730016,105.85066666666665,12474,13.9
2014-07-01,19421891.0438224,103.68741935483871,12474,72.5
2014-08-01,13885176.4190542,96.63677419354838,1782,18.3
2014-09-01,20022416.1138096,93.40899999999999,0,69.8
2014-10-01,20396101.3141771,84.53322580645161,1782,73.2
2014-11-01,20531635.2036432,75.63066666666667,5346,66.2
2014-12-01,24340454.3638302,59.15966666666667,14256,54.0
2015-01-01,14896922.0571985,47.86290322580645,5346,-21.2
2015-02-01,13742395.8483812,50.71178571428571,3564,14.2
2015-03-01,15598607.5183553,47.76129032258065,0,-23.4
2015-04-01,14955068.1707755,53.918,1782,16.3
2015-05-01,17730368.244309,59.32,7128,32.5
2015-06-01,21615360.3512421,59.741,0,62.3
2015-07-01,22209619.0387389,51.413225806451614,0,14.4
2015-08-01,22963674.2412815,43.17935483870968,1782,65.4
2015-09-01,23240882.4779112,45.43833333333333,0,16.1
2015-10-01,23878267.6645621,46.3341935483871,1782,17.1
2015-11-01,22804953.3682112,42.221000000000004,7128,11.1
2015-12-01,27243981.6737737,37.13766666666667,10692,11.9
2016-01-01,23977804.8854341,32.244516129032256,1782,61.0
2016-02-01,21947408.8010028,30.297241379310346,3564,59.7
2016-03-01,23131780.8838199,37.68451612903226,1782,48.3
2016-04-01,25963025.1019622,40.612,26730,73.6
2016-05-01,24779432.2602277,46.837419354838715,30294,39.8
2016-06-01,22209218.5803836,48.58733333333333,0,2.7
2016-07-01,23462672.4331036,44.92225806451613,0,5.6
2016-08-01,22452414.3178949,44.95161290322581,1782,-2.2
2016-09-01,22417448.0969967,44.952,0,-3.5
2016-10-01,24030389.816292,49.664516129032265,1782,0.6
2016-11-01,24642640.1973935,45.51133333333333,10692,8.1
2016-12-01,29640287.5793851,51.980999999999995,10692,8.8
2017-01-01,26328159.9357051,52.69806451612903,1782,9.8
2017-02-01,23250112.3749368,53.550357142857145,3564,5.9
2017-03-01,26704017.6908793,49.30903225806452,0,15.4
2017-04-01,25895308.4895551,51.10666666666666,1782,-0.3
2017-05-01,26911847.250593,48.51548387096774,7128,8.6
2017-06-01,25682822.1249936,45.202999999999996,0,15.6
2017-07-01,27011477.5658307,46.53612903225806,0,15.1
2017-08-01,12433322.9407775,48.97933333333334,1782,-44.6
