family,price_change_pct,baseline_units_sim,baseline_revenue_sim,baseline_margin_sim,margin_rate_sim,avg_net_price_sim,avg_unit_cost_sim,new_price_sim,break_even_volume_ratio_sim,break_even_volume_change_pct_sim,feasibility_flag,below_cost_flag
AUTOMOTIVE,-20.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,10.397363415828359,3.159676111108552,215.9676111108552,feasible,False
AUTOMOTIVE,-15.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,11.04719862931763,2.0518456192268246,105.18456192268246,feasible,False
AUTOMOTIVE,-10.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,11.697033842806905,1.5191933346303252,51.91933346303252,feasible,False
AUTOMOTIVE,-5.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,12.346869056296175,1.2060950731701239,20.609507317012387,feasible,False
AUTOMOTIVE,-2.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,12.736770184389739,1.0733658278701932,7.336582787019319,feasible,False
AUTOMOTIVE,2.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,13.256638355181158,0.9360217994306397,-6.397820056936032,feasible,False
AUTOMOTIVE,5.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,13.646539483274722,0.8540599693998516,-14.594003060014838,feasible,False
AUTOMOTIVE,10.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,14.296374696763994,0.7452920280239846,-25.470797197601534,feasible,False
AUTOMOTIVE,15.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,14.946209910253264,0.6610984990404891,-33.890150095951086,feasible,False
AUTOMOTIVE,20.0,540268.13,7021705.112,2054596.408,0.2926064788008147,12.996704269785448,9.193784397388015,15.596045123742538,0.5939964076662704,-40.60035923337296,feasible,False
BABY CARE,-20.0,8887.16,84028.319,26370.3,0.31382634228348655,9.455024889841075,6.487789012462924,7.564019911872861,2.7570625216252354,175.70625216252353,feasible,False
BABY CARE,-15.0,8887.16,84028.319,26370.3,0.31382634228348655,9.455024889841075,6.487789012462924,8.036771156364914,1.9156036685506819,91.56036685506818,feasible,False
BABY CARE,-10.0,8887.16,84028.319,26370.3,0.31382634228348655,9.455024889841075,6.487789012462924,8.509522400856968,1.4676692260274558,46.766922602745574,feasible,False
BABY CARE,-5.0,8887.16,84028.319,26370.3,0.31382634228348655,9.455024889841075,6.487789012462924,8.982273645349022,1.1895186036664755,18.951860366647555,feasible,False
BABY CARE,-2.0,8887.16,84028.319,26370.3,0.31382634228348655,9.455024889841075,6.487789012462924,9.265924392044253,1.0680674164357389,6.806741643573888,feasible,False
